strategy,strategy_display_name,category,batch_size,replication,total_latency,l1_hit_rate,l2_hit_rate,l3_hit_rate,overall_hit_rate,miss_rate,average_cache_latency,total_accesses,deduplication_efficiency
topk_ours,Top-K (Ours),Our Contribution,32,1,152330.0,0.0,0.0,0.0,0.0,1.0,10.0,15233,0.0
multilook_ours,Multi-Look-Ahead (Ours),Our Contribution,32,1,152330.0,0.0,0.0,0.0,0.0,1.0,10.0,15233,0.0
intelligent_dedup_ours,Intelligent+Deduplication (Ours),Our Complete Solution,32,1,116215.09999999998,0.09164314317599948,0.15328562988249195,0.0009190573097879604,0.2458478303682794,0.7541521696317206,7.629166940195629,15233,20.661458333333332
on_demand,On-Demand,Baseline,32,2,136677.20000000007,0.12380208333333333,0.12411458333333333,0.059583333333333335,0.3075,0.6925,7.1186041666666675,19200,0.0
pregated_moe,Pre-gated MoE,Paper Baseline,32,2,137132.9,0.12390625,0.12260416666666667,0.05828125,0.3047916666666667,0.6952083333333333,7.142338541666667,19200,0.0
expertflow_plec,ExpertFlow PLEC,Paper Baseline,32,2,142436.09999999992,0.12296875,0.121875,0.02578125,0.270625,0.729375,7.4185468750000005,19200,0.0
topk_ours,Top-K (Ours),Our Contribution,32,2,151590.0,0.0,0.0,0.0,0.0,1.0,10.0,15159,0.0
multilook_ours,Multi-Look-Ahead (Ours),Our Contribution,32,2,151590.0,0.0,0.0,0.0,0.0,1.0,10.0,15159,0.0
intelligent_dedup_ours,Intelligent+Deduplication (Ours),Our Complete Solution,32,2,114901.80000000002,0.09024341975064318,0.15977307210238142,0.0011214460056731975,0.25113793785869776,0.7488620621413022,7.5797743914506235,15159,21.046875
on_demand,On-Demand,Baseline,32,3,136951.0,0.12395833333333334,0.12302083333333333,0.05890625,0.3058854166666667,0.6941145833333333,7.132864583333333,19200,0.0
pregated_moe,Pre-gated MoE,Paper Baseline,32,3,136960.50000000006,0.12395833333333334,0.12380208333333333,0.057916666666666665,0.3056770833333333,0.6943229166666667,7.133359375,19200,0.0
expertflow_plec,ExpertFlow PLEC,Paper Baseline,32,3,142676.90000000005,0.11921875,0.124375,0.025885416666666668,0.2694791666666667,0.7305208333333333,7.431088541666666,19200,0.0
topk_ours,Top-K (Ours),Our Contribution,32,3,152740.0,0.0,0.0,0.0,0.0,1.0,10.0,15274,0.0
multilook_ours,Multi-Look-Ahead (Ours),Our Contribution,32,3,152740.0,0.0,0.0,0.0,0.0,1.0,10.0,15274,0.0
intelligent_dedup_ours,Intelligent+Deduplication (Ours),Our Complete Solution,32,3,115855.99999999999,0.09198638208720702,0.15706429226135918,0.0015058268953777661,0.2505565012439439,0.7494434987560561,7.585177425690716,15274,20.447916666666664
on_demand,On-Demand,Baseline,32,4,135906.4999999999,0.12734375,0.12416666666666666,0.06015625,0.31166666666666665,0.6883333333333334,7.078463541666666,19200,0.0
pregated_moe,Pre-gated MoE,Paper Baseline,32,4,136677.19999999995,0.12666666666666668,0.12270833333333334,0.057708333333333334,0.3070833333333334,0.6929166666666666,7.1186041666666675,19200,0.0
expertflow_plec,ExpertFlow PLEC,Paper Baseline,32,4,142754.4,0.12338541666666666,0.11890625,0.02671875,0.2690104166666667,0.7309895833333333,7.435124999999999,19200,0.0
topk_ours,Top-K (Ours),Our Contribution,32,4,151250.0,0.0,0.0,0.0,0.0,1.0,10.0,15125,0.0
multilook_ours,Multi-Look-Ahead (Ours),Our Contribution,32,4,151250.0,0.0,0.0,0.0,0.0,1.0,10.0,15125,0.0
